Le Puy-en-Velay,FR,-1.55,-1.55
city,country,temp_max,temp_min
Le Pontet,FR,5.85,-2.94
city,country,temp_max,temp_min
Le Bouscat,FR,5.06,-0.94
city,country,temp_max,temp_min
Lattes,FR,4.56,2.98
city,country,temp_max,temp_min
Lanester,FR,7.79,5.75
city,country,temp_max,temp_min
La Crau,FR,12.46,0.22
city,country,temp_max,temp_min
La Chapelle-sur-Erdre,FR,6.18,5.35
city,country,temp_max,temp_min
Hautmont,FR,6.26,3.79
city,country,temp_max,temp_min
Fleury-les-Aubrais,FR,3.6,1.03
city,country,temp_max,temp_min
Firminy,FR,1.01,-2.25
city,country,temp_max,temp_min
Dole,FR,3.4,-1.8
city,country,temp_max,temp_min
Cran-Gevrier,FR,3.26,-2.6
city,country,temp_max,temp_min
Coulommiers,FR,4.86,3.1
city,country,temp_max,temp_min
Couëron,FR,6.23,5.4
city,country,temp_max,temp_min
Coudekerque-Branche,FR,7.31,5.85
city,country,temp_max,temp_min
Châtellerault,FR,4.05,3.09
city,country,temp_max,temp_min
Cesson-Sévigné,FR,6.17,4.94
city,country,temp_max,temp_min
Cavaillon,FR,5.53,-3.25
city,country,temp_max,temp_min
Carvin,FR,7.13,5.48
city,country,temp_max,temp_min
Carquefou,FR,6.3,5.47
city,country,temp_max,temp_min
Canteleu,FR,6.18,4.67
city,country,temp_max,temp_min
Bruay-la-Buissière,FR,7.63,5.29
city,country,temp_max,temp_min
Bourg-lès-Valence,FR,2.69,0.94
city,country,temp_max,temp_min
Pantine,FR,8.79,4.81
city,country,temp_max,temp_min
Languedoc-Roussillon Region,FR,8.94,1.5
city,country,temp_max,temp_min
Marseille,FR,11.89,-0.93
city,country,temp_max,temp_min
Arrondissement de Bayonne,FR,10.08,2.53
city,country,temp_max,temp_min
Arrondissement de Digne-les-Bains,FR,4.4,1.57
city,country,temp_max,temp_min
Arrondissement de Mont-de-Marsan,FR,8.02,-1.33
city,country,temp_max,temp_min
Centre-Val de Loire,FR,3.38,1.91
city,country,temp_max,temp_min
Cher,FR,3.93,0.68
city,country,temp_max,temp_min
Arrondissement de Bourges,FR,1.65,0.36
city,country,temp_max,temp_min
Arrondissement de Laon,FR,5.37,4.14
city,country,temp_max,temp_min
Audignicourt,FR,4.99,3.3
city,country,temp_max,temp_min
Béthencourt-sur-Mer,FR,7.39,6.35
city,country,temp_max,temp_min
Andrézieux-Bouthéon,FR,2.04,-1.51
city,country,temp_max,temp_min
Saint-Sandoux,FR,-5.38,-5.38
city,country,temp_max,temp_min
Ambacourt,FR,4.64,-2.01
city,country,temp_max,temp_min
Essonne,FR,4.88,1.88
city,country,temp_max,temp_min
Arrondissement de Romorantin-Lanthenay,FR,3.27,1.81
city,country,temp_max,temp_min
Kerfeunteun,FR,7.31,6.25
city,country,temp_max,temp_min
Arrondissement de Dax,FR,8.13,1.01
city,country,temp_max,temp_min
Deux-Sèvres,FR,3.3,1.51
city,country,temp_max,temp_min
Arrondissement de Niort,FR,3.19,2.06
city,country,temp_max,temp_min
Hautes-Alpes,FR,-2.02,-7.59
city,country,temp_max,temp_min
Le Fango,FR,9.77,5.79
city,country,temp_max,temp_min
Arrondissement de Dinan,FR,6.92,4.52
city,country,temp_max,temp_min
Arrondissement de La Rochelle,FR,3.51,2.56
city,country,temp_max,temp_min
Saint-Médard-d'Aunis,FR,3.36,2.41
city,country,temp_max,temp_min
Saint-Médard-d'Aunis,FR,3.4,2.46
city,country,temp_max,temp_min
Arrondissement d'Amiens,FR,6.57,5.13
city,country,temp_max,temp_min
Arrondissement de Strasbourg,FR,4.21,-2.08
city,country,temp_max,temp_min
Arrondissement de Nanterre,FR,5.57,3.24
city,country,temp_max,temp_min
Arrondissement d'Argentan,FR,5.47,5.47
city,country,temp_max,temp_min
Arrondissement de Créteil,FR,5.54,3.33
city,country,temp_max,temp_min
Arrondissement de Saint-Denis,FR,5.6,3.31
city,country,temp_max,temp_min
Juan-les-Pins,FR,12.91,4.01
city,country,temp_max,temp_min
Tarbes,FR,6.91,1.16
city,country,temp_max,temp_min
Arrondissement de Perpignan,FR,6.9,3.79
city,country,temp_max,temp_min
Arrondissement de Caen,FR,6.6,6.12
city,country,temp_max,temp_min
Brie-Comte-Robert,FR,5.27,3.06
city,country,temp_max,temp_min
Arrondissement du Mans,FR,4.99,3.56
city,country,temp_max,temp_min
Loos,FR,7.17,5.52
city,country,temp_max,temp_min
Aubière,FR,-1.09,-3.39
city,country,temp_max,temp_min
Viale,FR,8.21,1.95
city,country,temp_max,temp_min
Ville-d'Avray,FR,4.74,2.53
city,country,temp_max,temp_min
Arrondissement de Fontainebleau,FR,5.88,1.72
city,country,temp_max,temp_min
Montreuil,FR,5.13,2.92
city,country,temp_max,temp_min
Chamalières,FR,-1.27,-3.56
city,country,temp_max,temp_min
Arrondissement de Nevers,FR,3.17,-0.08
city,country,temp_max,temp_min
Rambouillet,FR,4.85,2.53
city,country,temp_max,temp_min
La Seyne-sur-Mer,FR,12.71,0.47
city,country,temp_max,temp_min
Mondeville,FR,6.79,6.32
city,country,temp_max,temp_min
Arrondissement de Châteaudun,FR,3.4,1.82
city,country,temp_max,temp_min
Arrondissement de Saverne,FR,5.45,-3.01
city,country,temp_max,temp_min
Guérande,FR,7.6,5.29
city,country,temp_max,temp_min
Montpeloux,FR,-3.81,-7.28
city,country,temp_max,temp_min
Bruges,FR,5.02,-0.98
city,country,temp_max,temp_min
Lacanau,FR,5.01,-0.99
city,country,temp_max,temp_min
Gavray-sur-Sienne,FR,6.29,5.01
city,country,temp_max,temp_min
Baron-sur-Odon,FR,6.5,6.03
city,country,temp_max,temp_min
Biguglia,FR,9.25,5.27
city,country,temp_max,temp_min
Vico,FR,4.42,3.66
city,country,temp_max,temp_min
Crépy-en-Valois,FR,4.99,3.36
city,country,temp_max,temp_min
Châteauneuf-les-Martigues,FR,11.96,-3.03
city,country,temp_max,temp_min
Sommesous,FR,4.11,2.05
city,country,temp_max,temp_min
Wasquehal,FR,7.16,5.5
city,country,temp_max,temp_min
Voiron,FR,5.55,-1.31
city,country,temp_max,temp_min
Voiron,FR,5.71,-1.14
city,country,temp_max,temp_min
Vitry-sur-Seine,FR,5.55,3.34
city,country,temp_max,temp_min
Vitrolles,FR,11.49,-4.04
city,country,temp_max,temp_min
Vitrolles,FR,11.93,-3.6
city,country,temp_max,temp_min
Viroflay,FR,5,2.79
city,country,temp_max,temp_min
Arrondissement de Nogent-sur-Marne,FR,5.25,3.04
city,country,temp_max,temp_min
Vincennes,FR,5.4,3.19
city,country,temp_max,temp_min
Villiers-sur-Marne,FR,5.15,2.94
city,country,temp_max,temp_min
Villiers-le-Bel,FR,5.33,3.05
city,country,temp_max,temp_min
Villers-lès-Nancy,FR,4.58,2.64
city,country,temp_max,temp_min
Villers-lès-Nancy,FR,4.76,2.82
city,country,temp_max,temp_min
Arrondissement du Raincy,FR,5.29,3.08
city,country,temp_max,temp_min
Villepinte,FR,5.45,3.17
city,country,temp_max,temp_min
Villeneuve-la-Garenne,FR,5.67,3.39
city,country,temp_max,temp_min
Villemomble,FR,5.33,3.12
city,country,temp_max,temp_min
Arrondissement de L'Haÿ-les-Roses,FR,5.19,2.98
city,country,temp_max,temp_min
Villejuif,FR,5.16,2.95
city,country,temp_max,temp_min
Villefranche-sur-Saône,FR,3.3,-0.95
city,country,temp_max,temp_min
Villefontaine,FR,3.76,-0.74
city,country,temp_max,temp_min
Villefontaine,FR,3.65,-0.85
city,country,temp_max,temp_min
Vigneux-sur-Seine,FR,5.53,3.32
city,country,temp_max,temp_min
Vierzon,FR,2.63,1.06
city,country,temp_max,temp_min
Vertou,FR,6.36,5.53
city,country,temp_max,temp_min
Vertou,FR,6.25,5.42
city,country,temp_max,temp_min
Vernon,FR,6.32,3.87
city,country,temp_max,temp_min
Verneuil-sur-Seine,FR,6.27,3.43
city,country,temp_max,temp_min
Vénissieux,FR,3.31,-0.95
city,country,temp_max,temp_min
Vélizy-Villacoublay,FR,4.6,2.4
city,country,temp_max,temp_min
Vauréal,FR,6.16,3.32
city,country,temp_max,temp_min
Vaulx-en-Velin,FR,3.45,-0.8
city,country,temp_max,temp_min
Vaulx-en-Velin,FR,3.44,-0.81
city,country,temp_max,temp_min
Vanves,FR,5.38,3.18
city,country,temp_max,temp_min
Vannes,FR,7.85,5.54
city,country,temp_max,temp_min
Vandœuvre-lès-Nancy,FR,4.82,2.89
city,country,temp_max,temp_min
Vandœuvre-lès-Nancy,FR,4.82,2.89
city,country,temp_max,temp_min
Valenciennes,FR,6.98,4.8
city,country,temp_max,temp_min
Valence,FR,2.77,1.02
city,country,temp_max,temp_min
Tulle,FR,4.41,2.66
city,country,temp_max,temp_min
Tremblay-en-France,FR,5.37,3.16
city,country,temp_max,temp_min
Trappes,FR,4.82,2.5
